"from";"to";"walkTime";"distance";"popularity";"category";"rideDuration"
"1";"2";"150.479861015337";"208.999806965746";"2936";"Ride";"390"
"1";"3";"236.45008507952";"328.402895943778";"190";"Ride";"420"
"1";"4";"210.272025138246";"292.044479358675";"2720";"Kids";"900"
"1";"5";"176.752722469538";"245.489892318802";"2616";"Roller Coaster";"900"
"1";"6";"241.890651629508";"335.959238374316";"5969";"Ride";"1020"
"1";"7";"53.5852277037449";"74.4239273663123";"3661";"Family";"1020"
"1";"8";"90.1593209419969";"125.221279086107";"8703";"Ride";"1140"
"1";"9";"311.998863342553";"433.331754642435";"2047";"Family";"1500"
"1";"10";"150.047193266409";"208.398879536679";"1884";"Family";"1500"
"1";"11";"85.1222678470395";"118.225372009777";"1152";"Family";"1500"
"1";"12";"21.6613469354508";"30.0852040770149";"2201";"Family";"1500"
"1";"13";"173.709099459387";"241.262638138038";"2079";"Family";"1800"
"2";"1";"150.479861015337";"208.999806965746";"5825";"Roller Coaster";"90"
"2";"3";"200.878701851833";"278.998197016434";"190";"Ride";"420"
"2";"4";"188.302423673019";"261.531143990304";"2720";"Kids";"900"
"2";"5";"323.345390928373";"449.090820733851";"2616";"Roller Coaster";"900"
"2";"6";"161.365476310088";"224.118717097345";"5969";"Ride";"1020"
"2";"7";"108.541512498482";"150.752100692336";"3661";"Family";"1020"
"2";"8";"67.6374451475209";"93.9408960382235";"8703";"Ride";"1140"
"2";"9";"462.404791342297";"642.228876864302";"2047";"Family";"1500"
"2";"10";"298.914457341287";"415.158968529565";"1884";"Family";"1500"
"2";"11";"66.5469469735737";"92.4263152410745";"1152";"Family";"1500"
"2";"12";"140.277070730631";"194.829264903654";"2201";"Family";"1500"
"2";"13";"214.070008006158";"297.319455564109";"2079";"Family";"1800"
"3";"1";"236.45008507952";"328.402895943778";"5825";"Roller Coaster";"90"
"3";"2";"200.878701851833";"278.998197016434";"2936";"Ride";"390"
"3";"4";"28.2346702106734";"39.2148197370465";"2720";"Kids";"900"
"3";"5";"389.066487185953";"540.370121091601";"2616";"Roller Coaster";"900"
"3";"6";"69.8474039321783";"97.0102832391365";"5969";"Ride";"1020"
"3";"7";"241.663214943227";"335.643354087816";"3661";"Family";"1020"
"3";"8";"180.475633363498";"250.660601893747";"8703";"Ride";"1140"
"3";"9";"477.124664604331";"662.673145283793";"2047";"Family";"1500"
"3";"10";"321.523781117876";"446.560807108161";"1884";"Family";"1500"
"3";"11";"213.144579318046";"296.03413794173";"1152";"Family";"1500"
"3";"12";"246.626739270487";"342.537137875676";"2201";"Family";"1500"
"3";"13";"107.23838075994";"148.942195499917";"2079";"Family";"1800"
"4";"1";"210.272025138246";"292.044479358675";"5825";"Roller Coaster";"90"
"4";"2";"188.302423673019";"261.531143990304";"2936";"Ride";"390"
"4";"3";"28.2346702106734";"39.2148197370465";"190";"Ride";"420"
"4";"5";"360.898042646659";"501.247281453693";"2616";"Roller Coaster";"900"
"4";"6";"82.5314128533656";"114.626962296341";"5969";"Ride";"1020"
"4";"7";"218.672838375712";"303.712275521823";"3661";"Family";"1020"
"4";"8";"160.018114734863";"222.247381576199";"8703";"Ride";"1140"
"4";"9";"449.742679766355";"624.642610786604";"2047";"Family";"1500"
"4";"10";"293.417436452388";"407.524217294983";"1884";"Family";"1500"
"4";"11";"192.978501973451";"268.025697185349";"1152";"Family";"1500"
"4";"12";"221.411096967694";"307.51541245513";"2201";"Family";"1500"
"4";"13";"81.7651074541982";"113.562649241942";"2079";"Family";"1800"
"5";"1";"176.752722469538";"245.489892318802";"5825";"Roller Coaster";"90"
"5";"2";"323.345390928373";"449.090820733851";"2936";"Ride";"390"
"5";"3";"389.066487185953";"540.370121091601";"190";"Ride";"420"
"5";"4";"360.898042646659";"501.247281453693";"2720";"Kids";"900"
"5";"6";"410.406973749675";"570.009685763438";"5969";"Ride";"1020"
"5";"7";"215.530351172704";"299.347709962089";"3661";"Family";"1020"
"5";"8";"266.848524813595";"370.622951129993";"8703";"Ride";"1140"
"5";"9";"157.776842360701";"219.134503278752";"2047";"Family";"1500"
"5";"10";"87.4188534841217";"121.415074283502";"1884";"Family";"1500"
"5";"11";"256.825689920684";"356.702347112061";"1152";"Family";"1500"
"5";"12";"183.226193977083";"254.480824968171";"2201";"Family";"1500"
"5";"13";"296.277443514568";"411.496449325789";"2079";"Family";"1800"
"6";"1";"241.890651629508";"335.959238374316";"5825";"Roller Coaster";"90"
"6";"2";"161.365476310088";"224.118717097345";"2936";"Ride";"390"
"6";"3";"69.8474039321783";"97.0102832391365";"190";"Ride";"420"
"6";"4";"82.5314128533656";"114.626962296341";"2720";"Kids";"900"
"6";"5";"410.406973749675";"570.009685763438";"2616";"Roller Coaster";"900"
"6";"7";"231.396454619964";"321.38396474995";"3661";"Family";"1020"
"6";"8";"165.335269234973";"229.632318381907";"8703";"Ride";"1140"
"6";"9";"516.027961898441";"716.705502636723";"2047";"Family";"1500"
"6";"10";"353.620050120684";"491.138958500951";"1884";"Family";"1500"
"6";"11";"194.27491748486";"269.826274284527";"1152";"Family";"1500"
"6";"12";"246.205545925693";"341.952147119018";"2201";"Family";"1500"
"6";"13";"160.522108666683";"222.947373148171";"2079";"Family";"1800"
"7";"1";"53.5852277037449";"74.4239273663123";"5825";"Roller Coaster";"90"
"7";"2";"108.541512498482";"150.752100692336";"2936";"Ride";"390"
"7";"3";"241.663214943227";"335.643354087816";"190";"Ride";"420"
"7";"4";"218.672838375712";"303.712275521823";"2720";"Kids";"900"
"7";"5";"215.530351172704";"299.347709962089";"2616";"Roller Coaster";"900"
"7";"6";"231.396454619964";"321.38396474995";"5969";"Ride";"1020"
"7";"8";"66.1365343765912";"91.8562977452655";"8703";"Ride";"1140"
"7";"9";"359.637035840459";"499.495883111749";"2047";"Family";"1500"
"7";"10";"201.300217978439";"279.583636081165";"1884";"Family";"1500"
"7";"11";"43.2121517270342";"60.0168773986586";"1152";"Family";"1500"
"7";"12";"35.5610530283292";"49.390351428235";"2201";"Family";"1500"
"7";"13";"201.482925226242";"279.837396147558";"2079";"Family";"1800"
"8";"1";"90.1593209419969";"125.221279086107";"5825";"Roller Coaster";"90"
"8";"2";"67.6374451475209";"93.9408960382235";"2936";"Ride";"390"
"8";"3";"180.475633363498";"250.660601893747";"190";"Ride";"420"
"8";"4";"160.018114734863";"222.247381576199";"2720";"Kids";"900"
"8";"5";"266.848524813595";"370.622951129993";"2616";"Roller Coaster";"900"
"8";"6";"165.335269234973";"229.632318381907";"5969";"Ride";"1020"
"8";"7";"66.1365343765912";"91.8562977452655";"3661";"Family";"1020"
"8";"9";"398.987998328752";"554.149997678823";"2047";"Family";"1500"
"8";"10";"234.000748884307";"325.001040117093";"1884";"Family";"1500"
"8";"11";"32.9761485666423";"45.8002063425588";"1152";"Family";"1500"
"8";"12";"86.457453086406";"120.079795953342";"2201";"Family";"1500"
"8";"13";"161.785157804885";"224.70160806234";"2079";"Family";"1800"
"9";"1";"311.998863342553";"433.331754642435";"5825";"Roller Coaster";"90"
"9";"2";"462.404791342297";"642.228876864302";"2936";"Ride";"390"
"9";"3";"477.124664604331";"662.673145283793";"190";"Ride";"420"
"9";"4";"449.742679766355";"624.642610786604";"2720";"Kids";"900"
"9";"5";"157.776842360701";"219.134503278752";"2616";"Roller Coaster";"900"
"9";"6";"516.027961898441";"716.705502636723";"5969";"Ride";"1020"
"9";"7";"359.637035840459";"499.495883111749";"3661";"Family";"1020"
"9";"8";"398.987998328752";"554.149997678823";"8703";"Ride";"1140"
"9";"10";"166.024280719934";"230.589278777687";"1884";"Family";"1500"
"9";"11";"396.94512117562";"551.312668299472";"1152";"Family";"1500"
"9";"12";"324.606165555208";"450.841896604455";"2201";"Family";"1500"
"9";"13";"371.359623749118";"515.777255207109";"2079";"Family";"1800"
"10";"1";"150.047193266409";"208.398879536679";"5825";"Roller Coaster";"90"
"10";"2";"298.914457341287";"415.158968529565";"2936";"Ride";"390"
"10";"3";"321.523781117876";"446.560807108161";"190";"Ride";"420"
"10";"4";"293.417436452388";"407.524217294983";"2720";"Kids";"900"
"10";"5";"87.4188534841217";"121.415074283502";"2616";"Roller Coaster";"900"
"10";"6";"353.620050120684";"491.138958500951";"5969";"Ride";"1020"
"10";"7";"201.300217978439";"279.583636081165";"3661";"Family";"1020"
"10";"8";"234.000748884307";"325.001040117093";"8703";"Ride";"1140"
"10";"9";"166.024280719934";"230.589278777687";"2047";"Family";"1500"
"10";"11";"234.916345193811";"326.27270165807";"1152";"Family";"1500"
"10";"12";"165.74931916937";"230.207387735237";"2201";"Family";"1500"
"10";"13";"221.090299844411";"307.069860895015";"2079";"Family";"1800"
"11";"1";"85.1222678470395";"118.225372009777";"5825";"Roller Coaster";"90"
