"from";"to";"walkTime";"distance";"popularity";"category";"rideDuration"
"1";"3";"256.59188325037";"356.377615625514";"1279";"Family";"90"
"1";"4";"276.128115060815";"383.511270917799";"1147";"Family";"100.2"
"1";"5";"245.225219795908";"340.590583049872";"580";"Dark";"120"
"1";"6";"236.167503529298";"328.010421568469";"1665";"Ride";"120"
"1";"7";"252.091319787524";"350.126833038228";"1045";"Family";"180"
"1";"8";"227.355430017364";"315.771430579673";"775";"Ride";"180"
"1";"9";"247.004555467002";"343.061882593059";"1403";"Family";"180"
"1";"10";"241.569693428345";"335.513463094924";"3572";"Family";"240"
"1";"11";"279.359743699872";"387.999644027601";"1196";"Kiddie";"240"
"1";"12";"226.80431192025";"315.005988778125";"1347";"Roller Coaster";"240"
"1";"13";"394.770708963436";"548.292651338106";"3427";"Family";"240"
"1";"14";"355.35336616366";"493.546341893972";"1292";"Family";"240"
"1";"15";"197.840323585983";"274.778227202754";"2307";"Ride";"270"
"1";"16";"158.476029899304";"220.105597082367";"4377";"Family";"270"
"1";"17";"120.018881396884";"166.692890829005";"2122";"Roller Coaster";"300"
"1";"18";"143.830170689048";"199.764125957011";"6767";"Water";"450"
"1";"19";"162.458495498836";"225.636799303939";"2473";"Kiddie";"540"
"1";"20";"301.200049744063";"418.33340242231";"3801";"Dark";"540"
"1";"21";"272.133042400039";"377.962558888943";"2898";"Water";"570"
"1";"22";"323.423593809318";"449.199435846274";"1735";"Water";"600"
"1";"23";"158.928375140084";"220.733854361228";"2088";"Dark";"600"
"1";"24";"232.490998142922";"322.904164087392";"2757";"Water";"780"
"1";"25";"382.202585545854";"530.836924369241";"6801";"Water";"840"
"1";"26";"203.142621118628";"282.142529331427";"18710";"Family";"900"
"1";"27";"146.348736555205";"203.262134104451";"2174";"Ride";"900"
"1";"28";"44.003786745343";"61.1163704796431";"16366";"Family";"900"
"1";"29";"175.115400925449";"243.215834618679";"10427";"Water";"900"
"1";"30";"213.10269329343";"295.975962907541";"4082";"Water";"1080"
"1";"31";"272.165434493266";"378.007547907313";"3557";"Family";"1500"
"3";"1";"256.59188325037";"356.377615625514";"7817";"Kiddie";"60"
"3";"4";"46.123165680748";"64.0599523343723";"1147";"Family";"100.2"
"3";"5";"29.6145743949291";"41.1313533262905";"580";"Dark";"120"
"3";"6";"57.0230990615561";"79.1987486966057";"1665";"Ride";"120"
"3";"7";"44.7153683008606";"62.1046781956397";"1045";"Family";"180"
"3";"8";"40.5951440153544";"56.38214446577";"775";"Ride";"180"
"3";"9";"60.0357224017595";"83.3829477802216";"1403";"Family";"180"
"3";"10";"76.7246830367717";"106.562059773294";"3572";"Family";"240"
"3";"11";"62.7682406512075";"87.1781120155659";"1196";"Kiddie";"240"
"3";"12";"45.9720109022982";"63.8500151420808";"1347";"Roller Coaster";"240"
"3";"13";"138.321264331266";"192.112867126758";"3427";"Family";"240"
"3";"14";"349.617448402902";"485.579789448474";"1292";"Family";"240"
"3";"15";"157.146838060998";"218.259497306941";"2307";"Ride";"270"
"3";"16";"102.210992829863";"141.959712263698";"4377";"Family";"270"
"3";"17";"183.983698051111";"255.532913959876";"2122";"Roller Coaster";"300"
"3";"18";"204.219601600984";"283.638335556923";"6767";"Water";"450"
"3";"19";"230.148550817225";"319.650765023924";"2473";"Kiddie";"540"
"3";"20";"335.387188117169";"465.815539051623";"3801";"Dark";"540"
"3";"21";"15.6060973842267";"21.6751352558704";"2898";"Water";"570"
"3";"22";"280.667447854421";"389.815899797808";"1735";"Water";"600"
"3";"23";"198.197844540737";"275.274784084358";"2088";"Dark";"600"
"3";"24";"110.790718185682";"153.875997480114";"2757";"Water";"780"
"3";"25";"131.185691750839";"182.202349653943";"6801";"Water";"840"
"3";"26";"71.8916367344822";"99.8494954645586";"18710";"Family";"900"
"3";"27";"117.305271780165";"162.923988583562";"2174";"Ride";"900"
"3";"28";"223.60060869669";"310.556400967625";"16366";"Family";"900"
"3";"29";"244.266304818759";"339.258756692721";"10427";"Water";"900"
"3";"30";"178.906901553634";"248.481807713381";"4082";"Water";"1080"
"3";"31";"228.571402269192";"317.460280929433";"3557";"Family";"1500"
"4";"1";"276.128115060815";"383.511270917799";"7817";"Kiddie";"60"
"4";"3";"46.123165680748";"64.0599523343723";"1279";"Family";"90"
"4";"5";"33.3367322549785";"46.3010170208035";"580";"Dark";"120"
"4";"6";"42.7574269854588";"59.3853152575816";"1665";"Ride";"120"
"4";"7";"24.5023840672017";"34.0310889822245";"1045";"Family";"180"
"4";"8";"49.8148065771774";"69.1872313571908";"775";"Ride";"180"
"4";"9";"35.6623024254649";"49.5309755909235";"1403";"Family";"180"
"4";"10";"51.1694412131139";"71.0686683515471";"3572";"Family";"240"
"4";"11";"17.4590872467085";"24.2487322870952";"1196";"Kiddie";"240"
"4";"12";"90.0918995215505";"125.127638224376";"1347";"Roller Coaster";"240"
"4";"13";"132.198133333764";"183.608518519117";"3427";"Family";"240"
"4";"14";"316.039199338859";"438.943332415082";"1292";"Family";"240"
"4";"15";"201.294678728356";"279.575942678273";"2307";"Ride";"270"
"4";"16";"133.163209782833";"184.948902476157";"4377";"Family";"270"
"4";"17";"219.458386252534";"304.80331423963";"2122";"Roller Coaster";"300"
"4";"18";"198.542458021588";"275.753413918872";"6767";"Water";"450"
"4";"19";"220.276735966562";"305.93991106467";"2473";"Kiddie";"540"
"4";"20";"308.499455156721";"428.471465495445";"3801";"Dark";"540"
"4";"21";"44.6776767793495";"62.0523288602077";"2898";"Water";"570"
"4";"22";"245.188303301523";"340.539310141004";"1735";"Water";"600"
"4";"23";"189.275264249998";"262.88231145833";"2088";"Dark";"600"
"4";"24";"156.810708062512";"217.792650086822";"2757";"Water";"780"
"4";"25";"139.129777907815";"193.235802649743";"6801";"Water";"840"
"4";"26";"74.0912284392947";"102.904483943465";"18710";"Family";"900"
"4";"27";"148.824078454957";"206.700108965219";"2174";"Ride";"900"
