"from";"to";"walkTime";"distance";"popularity";"category";"rideDuration"
"1";"2";"268.796280176272";"373.32816691149";"1950";"Water";"240"
"1";"3";"331.70012776386";"460.69462189425";"1386";"Ride";"330"
"1";"4";"298.069979530812";"413.986082681683";"1334";"Dark";"360"
"1";"5";"112.433681098606";"156.157890414731";"2762";"Water";"420"
"1";"6";"358.518488036978";"497.942344495802";"1247";"Show";"720"
"1";"7";"340.01950022571";"472.249305869042";"674";"Water";"840"
"1";"8";"282.11889986515";"391.831805368264";"3697";"Show";"840"
"1";"9";"77.6618183140512";"107.863636547293";"1355";"Ride";"900"
"1";"10";"316.330583996925";"439.348033329062";"1918";"Show";"900"
"1";"11";"215.241754237812";"298.94688088585";"10034";"Dark";"960"
"1";"12";"317.068807982261";"440.373344419806";"885";"Family";"1020"
"1";"13";"526.070113829324";"730.652935874061";"2821";"Show";"1080"
"1";"14";"349.566148728424";"485.508539900589";"1428";"Show";"1200"
"1";"15";"411.539629097754";"571.582818191324";"2195";"Show";"1200"
"1";"16";"130.767193869134";"181.62110259602";"876";"Show";"2100"
"1";"17";"360.816589640072";"501.134152277877";"2711";"Show";"2700"
"2";"1";"268.796280176272";"373.32816691149";"1677";"Dark";"240"
"2";"3";"153.398424088948";"213.053366790206";"1386";"Ride";"330"
"2";"4";"200.300310035116";"278.194875048772";"1334";"Dark";"360"
"2";"5";"351.540002306729";"488.25000320379";"2762";"Water";"420"
"2";"6";"483.469309053388";"671.485151463038";"1247";"Show";"720"
"2";"7";"113.054029330625";"157.019485181423";"674";"Water";"840"
"2";"8";"524.28084120234";"728.16783500325";"3697";"Show";"840"
"2";"9";"286.384315636714";"397.75599393988";"1355";"Ride";"900"
"2";"10";"257.414163242202";"357.519671169725";"1918";"Show";"900"
"2";"11";"96.8451112736432";"134.507098991171";"10034";"Dark";"960"
"2";"12";"49.6476852066242";"68.9551183425337";"885";"Family";"1020"
"2";"13";"521.820842408564";"724.751170011894";"2821";"Show";"1080"
"2";"14";"122.398240291129";"169.997555959901";"1428";"Show";"1200"
"2";"15";"378.407306515312";"525.565703493489";"2195";"Show";"1200"
"2";"16";"202.625020188022";"281.423639150031";"876";"Show";"2100"
"2";"17";"365.938322302986";"508.247669865259";"2711";"Show";"2700"
"3";"1";"331.70012776386";"460.69462189425";"1677";"Dark";"240"
"3";"2";"153.398424088948";"213.053366790206";"1950";"Water";"240"
"3";"4";"83.0917612147935";"115.405223909435";"1334";"Dark";"360"
"3";"5";"372.910858554174";"517.931747991908";"2762";"Water";"420"
"3";"6";"409.90274653865";"569.30937019257";"1247";"Show";"720"
"3";"7";"61.4363856517144";"85.3283134051588";"674";"Water";"840"
"3";"8";"524.322962173923";"728.22633635267";"3697";"Show";"840"
"3";"9";"378.855933962822";"526.188797170586";"1355";"Ride";"900"
"3";"10";"137.325191005264";"190.729431951756";"1918";"Show";"900"
"3";"11";"240.623998535596";"334.199997966106";"10034";"Dark";"960"
"3";"12";"165.103626011156";"229.310591682161";"885";"Family";"1020"
